Manufacturer,ASIN,Description
Samsonite,B07CJCGM1M,
Wesley,B084JGJ8PF,"With a slim, sleek and compact design you will love how this backpack can look small even with a spacious storage!   Take your gadgets with you anywhere with this backpack, it has got allotted storage space that fits a laptop of upto 15.6 inches.   Designed with great quality materials that are waterproof, tough and durable, it is also lightweight and easy to maintain.   The back straps are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day.   Featuring 2 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety.   It won’t feel uneasy to carry heavy things for a longer time with this bag as it has a cushioned back support that distributes weight evenly between your shoulders and back.   Be it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials."
VIP Industries Ltd,B08Z1HHHTD,
"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",B09TPX22NF,"Light weight and spacious laptop backpack with 2 compartments and 1 front easy-access pocket. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort."
Korrun India Pvt. Ltd,B088XB5XY8,"It's an edgy mix of fashionable details and practical usability. This backpack is made to accompany you on any adventure   With a capacity of 12 litres, this backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more.   The multi coated, water-repellent 600D polyester fabric design keeps your belongings safe whether you're on a short excursion or bustling through a commute.   The Mi Step Out Backpack is available in 4 trendy colors. The array of vibrant colors allow you to make your pick and stand out wherever you go.   Fully equipped with a water repellent exterior, contra zippers, reflective pullers and adjustable shoulder straps, this backpack is ideal companion for a hands-free day   Weighing just 200g, this backpack is easy to carry whether you're toting it through the airport, hitting the gym, exploring a new city or using it as a carrier for your books."
"Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507",B098QFF5TJ,Featuring multiple spacious compartments and functional pockets that are easy to access and will allow you to properly organize your backpack.   The side pockets are designed to hold small items and they are made with durable mesh that can expand to secure various sizes of water bottles and compact umbrellas.   This backpack is made with lightweight material and this water-resistant fabric makes it easier for you to carry anywhere. A perfect backpack for all your travels!   Enhanced with durable and quality zippers that will last longer and will not break easily with regular use.
AirCase,B07QN4KXWG,"Contoured padded mesh back panel and shoulder straps for Extra Comfort. It helps to get relief from stress over shoulders while carry heavy weight.   It features a dedicated space for up to 15.6” laptop and iPad/tablet with a secure velcro closure. Extra padded layer protects your laptop from major impacts.   Main compartment has plenty of space for clothes, wallet, diary, etc.   Quick-grab items like your smartphone, passport etc can be stored in this zippered pocket. So you can access it easily.   Designed to accommodate tablet, mouse, power adapter & cable,power bank, keys, passport etc.   This backpack has mesh pockets on both sides with elastic belt. Umbrella, Water bottles can be easily stored inside this pockets.   With leather pull tail, fashionable & novel, keeping up with the current trend.   Handle padded with breathable mesh which provides the needed comfort while carrying excessive weight.   Adjustable side straps for a better fit.   Protects your belongings from getting wet.   Mesh Pocket to Keep bottles.   Artificial Leather with elegant look, high end finish. Strong fabric lining inside protects from scratches."
"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",B07M9BRCQ5,"The presence of artificial leather material in this smart duffle bag makes it tough and durable. The fabric is durable and long lasting.   The textured PU Leather Fabric is water resistant in nature which means any small splashes and your items inside the bag will still be safe. However, we recommend you to be careful during heavy rain as the zips are never 100% waterproof and thus extra caution is recommended.   This stylish backpack has been crafted with a special focus on the looks as well. The visually appealing appearance of the product can fit into any occasion without much adjustment.   With a huge compartment in this bag, the user can have ample space for storage. The large compartment is suitable for 3 to 4 days weekender or business trip. It can also be used as a carry-on flight bag as well.   The traditional zipper closure remains a constant as well. This can give the user with an easy access to the contents inside during need. The smooth zipper operation adds a sense of convenience into the overall user experience.   There are two padded grab handles and a single long strap present in the bag for carrying. The user can use either of the two options as per the convenience. This flexibility is another highlight of the product."
"Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",B09B29F66W,
,B084ZHP97M,"Keeping in mind the average usage by an average Indian, this casual backpack is manufactured using top grade nylon and robust hardware to ensure long life.   Grey | Black | Blue   This cross-body bag comes with an adjustable shoulder strap & a comfortable size so that you can carry all your daily essentials easily.   A light weight design & slim profile makes this bag perfect for carrying all day.   With a main central pocket along with a front and a back zipper pocket, you can carry all your essentials like phone, wallet, diary, tablet, water bottle & much more.   An ergonomically great design & premium hardware makes this cross body sling bag a perfect gift for your loved ones."
